97
1.00000     0.00000 0.0
0.99893     0.00006 0.0
0.99572     0.00024 0.0
0.99039     0.00053 0.0
0.98296     0.00096 0.0
0.97347     0.00157 0.0
0.96194     0.00244 0.0
0.94844     0.00368 0.0
0.93301     0.00539 0.0
0.91573     0.00761 0.0
0.89668     0.01035 0.0
0.87592     0.01359 0.0
0.85355     0.01730 0.0
0.82967     0.02149 0.0
0.80438     0.02613 0.0
0.77779     0.03117 0.0
0.75000     0.03655 0.0
0.72114     0.04216 0.0
0.69134     0.04793 0.0
0.66072     0.05373 0.0
0.62941     0.05947 0.0
0.59755     0.06502 0.0
0.56526     0.07029 0.0
0.53270     0.07515 0.0
0.50000     0.07949 0.0
0.46730     0.08321 0.0
0.43474     0.08620 0.0
0.40245     0.08839 0.0
0.37059     0.08969 0.0
0.33928     0.09007 0.0
0.30866     0.08955 0.0
0.27886     0.08820 0.0
0.25000     0.08611 0.0
0.22221     0.08336 0.0
0.19562     0.07999 0.0
0.17033     0.07607 0.0
0.14645     0.07168 0.0
0.12408     0.06688 0.0
0.10332     0.06171 0.0
0.08427     0.05620 0.0
0.06699     0.05041 0.0
0.05156     0.04442 0.0
0.03806     0.03833 0.0
0.02653     0.03214 0.0
0.01704     0.02561 0.0
0.00961     0.01861 0.0
0.00428     0.01164 0.0
0.00107     0.00539 0.0
0.00000     0.00000 0.0
0.00107     -0.00539 0.0
0.00428     -0.01164 0.0
0.00961     -0.01861 0.0
0.01704     -0.02561 0.0
0.02653     -0.03214 0.0
0.03806     -0.03833 0.0
0.05156     -0.04442 0.0
0.06699     -0.05041 0.0
0.08427     -0.05620 0.0
0.10332     -0.06171 0.0
0.12408     -0.06688 0.0
0.14645     -0.07168 0.0
0.17033     -0.07607 0.0
0.19562     -0.07999 0.0
0.22221     -0.08336 0.0
0.25000     -0.08611 0.0
0.27886     -0.08820 0.0
0.30866     -0.08955 0.0
0.33928     -0.09007 0.0
0.37059     -0.08969 0.0
0.40245     -0.08839 0.0
0.43474     -0.08620 0.0
0.46730     -0.08321 0.0
0.50000     -0.07949 0.0
0.53270     -0.07515 0.0
0.56526     -0.07029 0.0
0.59755     -0.06502 0.0
0.62941     -0.05947 0.0
0.66072     -0.05373 0.0
0.69134     -0.04793 0.0
0.72114     -0.04216 0.0
0.75000     -0.03655 0.0
0.77779     -0.03117 0.0
0.80438     -0.02613 0.0
0.82967     -0.02149 0.0
0.85355     -0.01730 0.0
0.87592     -0.01359 0.0
0.89668     -0.01035 0.0
0.91573     -0.00761 0.0
0.93301     -0.00539 0.0
0.94844     -0.00368 0.0
0.96194     -0.00244 0.0
0.97347     -0.00157 0.0
0.98296     -0.00096 0.0
0.99039     -0.00053 0.0
0.99572     -0.00024 0.0
0.99893     -0.00006 0.0
1.00000     0.00000 0.0
